method,setting,n_samples,qwen_token_compression_ratio,eojeol_compression_ratio,empty_output_count,empty_output_rate,number_retention,date_retention,negation_retention,semantic_mean,semantic_p10,semantic_min,L,threshold,drop_rule,qwen_model
Span,Span_max_L1_t0.5,418,0.37757628862051884,0.43256703529768215,0,0.0,0.7840172786177105,0.8548387096774194,0.6232394366197183,0.9325687866747094,0.8733534812927246,0.6675613522529602,1,0.5,max,Qwen/Qwen3-8B
Span,Span_max_L1_t0.7,418,0.2448398034210827,0.2934782608695652,0,0.0,0.9006479481641468,0.8870967741935484,0.7652582159624414,0.9620109616854544,0.9279648065567017,0.8438604474067688,1,0.7,max,Qwen/Qwen3-8B
Span,Span_max_L1_t0.9,418,0.12226751495295063,0.15370777154976523,0,0.0,0.9848812095032398,0.967741935483871,0.9061032863849765,0.9820297408902474,0.9634196758270264,0.8760212659835815,1,0.9,max,Qwen/Qwen3-8B
Span,Span_max_L2_t0.5,418,0.38265838698617094,0.43845629450083323,0,0.0,0.7796976241900648,0.8548387096774194,0.6150234741784038,0.931280744275408,0.8716654181480408,0.664267897605896,2,0.5,max,Qwen/Qwen3-8B
Span,Span_max_L2_t0.7,418,0.2485351822926588,0.2979472807150432,0,0.0,0.896328293736501,0.8870967741935484,0.7617370892018779,0.9613554486247341,0.9262874126434326,0.8299540877342224,2,0.7,max,Qwen/Qwen3-8B
Span,Span_max_L2_t0.9,418,0.12443902624861902,0.15643463111649747,0,0.0,0.9838012958963283,0.967741935483871,0.9061032863849765,0.9817224393050636,0.9628011584281921,0.8760213851928711,2,0.9,max,Qwen/Qwen3-8B
Span,Span_max_L4_t0.5,418,0.38566802544858847,0.44177018633540377,0,0.0,0.7764578833693304,0.8548387096774194,0.607981220657277,0.9304712168052436,0.8716654181480408,0.6686829328536987,4,0.5,max,Qwen/Qwen3-8B
Span,Span_max_L4_t0.7,418,0.25110289915806316,0.3004279654597788,0,0.0,0.8930885529157667,0.8870967741935484,0.7617370892018779,0.9610849406445425,0.9262874126434326,0.8299540877342224,4,0.7,max,Qwen/Qwen3-8B
Span,Span_max_L4_t0.9,418,0.12568859766086327,0.15783593394940165,0,0.0,0.9827213822894169,0.9516129032258065,0.9061032863849765,0.9814614763385371,0.9621934294700623,0.8760213851928711,4,0.9,max,Qwen/Qwen3-8B
Span,Span_max_L8_t0.5,418,0.3883805097337042,0.4445727920012119,0,0.0,0.775377969762419,0.8548387096774194,0.602112676056338,0.9295897512344652,0.8713980913162231,0.6718693971633911,8,0.5,max,Qwen/Qwen3-8B
Span,Span_max_L8_t0.7,418,0.2527486761400435,0.3021511892137555,0,0.0,0.8909287257019438,0.8709677419354839,0.7582159624413145,0.9608999601961893,0.9260926246643066,0.8254070281982422,8,0.7,max,Qwen/Qwen3-8B
Span,Span_max_L8_t0.9,418,0.12635148005638308,0.15849871231631574,0,0.0,0.9827213822894169,0.9516129032258065,0.9061032863849765,0.9813007936238102,0.9619179964065552,0.8760213851928711,8,0.9,max,Qwen/Qwen3-8B
Span,Span_mean_L1_t0.5,418,0.37757628862051884,0.43256703529768215,0,0.0,0.7840172786177105,0.8548387096774194,0.6232394366197183,0.9325687866747094,0.8733534812927246,0.6675613522529602,1,0.5,mean,Qwen/Qwen3-8B
Span,Span_mean_L1_t0.7,418,0.2448398034210827,0.2934782608695652,0,0.0,0.9006479481641468,0.8870967741935484,0.7652582159624414,0.9620109616854544,0.9279648065567017,0.8438604474067688,1,0.7,mean,Qwen/Qwen3-8B
Span,Span_mean_L1_t0.9,418,0.12226751495295063,0.15370777154976523,0,0.0,0.9848812095032398,0.967741935483871,0.9061032863849765,0.9820297408902474,0.9634196758270264,0.8760212659835815,1,0.9,mean,Qwen/Qwen3-8B
Span,Span_mean_L2_t0.5,418,0.35944988380509735,0.4079495530980155,0,0.0,0.7980561555075594,0.8548387096774194,0.6396713615023474,0.9374190269474778,0.8824887275695801,0.6712132096290588,2,0.5,mean,Qwen/Qwen3-8B
Span,Span_mean_L2_t0.7,418,0.22509809897519906,0.26454325102257237,0,0.0,0.9071274298056156,0.9032258064516129,0.7828638497652582,0.9671412451130351,0.935848593711853,0.8328446745872498,2,0.7,mean,Qwen/Qwen3-8B
Span,Span_mean_L2_t0.9,418,0.1080269724560936,0.13274503863051057,0,0.0,0.9848812095032398,0.967741935483871,0.9119718309859155,0.9857389578978981,0.9704132080078125,0.9039531350135803,2,0.9,mean,Qwen/Qwen3-8B
Span,Span_mean_L4_t0.5,418,0.3265876795306488,0.36337297379184974,0,0.0,0.8110151187904968,0.8548387096774194,0.6713615023474179,0.9456986341465032,0.8967047333717346,0.6816672086715698,4,0.5,mean,Qwen/Qwen3-8B
Span,Span_mean_L4_t0.7,418,0.19900186673778053,0.2275791546735343,0,0.0,0.9168466522678186,0.9193548387096774,0.8039906103286385,0.9717108965205233,0.9399037957191467,0.8342415690422058,4,0.7,mean,Qwen/Qwen3-8B
Span,Span_mean_L4_t0.9,418,0.09066250142862586,0.1088660808968338,0,0.0,0.9881209503239741,0.9838709677419355,0.9190140845070423,0.9882406227326279,0.974392831325531,0.9046162366867065,4,0.9,mean,Qwen/Qwen3-8B
Span,Span_mean_L8_t0.5,418,0.287210941369195,0.3139675806695955,0,0.0,0.8293736501079914,0.8548387096774194,0.7053990610328639,0.9531335638185437,0.9094078540802002,0.7331528067588806,8,0.5,mean,Qwen/Qwen3-8B
Span,Span_mean_L8_t0.7,418,0.16858546992266377,0.18819118315406758,0,0.0,0.9265658747300216,0.9193548387096774,0.8345070422535211,0.9764193744180305,0.9480247497558594,0.8363443613052368,8,0.7,mean,Qwen/Qwen3-8B
Span,Span_mean_L8_t0.9,418,0.0742352089603413,0.08610437812452654,0,0.0,0.9913606911447084,0.9838709677419355,0.931924882629108,0.9902707978583979,0.9764822125434875,0.9046162366867065,8,0.9,mean,Qwen/Qwen3-8B
Span,Span_min_L1_t0.5,418,0.37757628862051884,0.43256703529768215,0,0.0,0.7840172786177105,0.8548387096774194,0.6232394366197183,0.9325687866747094,0.8733534812927246,0.6675613522529602,1,0.5,min,Qwen/Qwen3-8B
Span,Span_min_L1_t0.7,418,0.2448398034210827,0.2934782608695652,0,0.0,0.9006479481641468,0.8870967741935484,0.7652582159624414,0.9620109616854544,0.9279648065567017,0.8438604474067688,1,0.7,min,Qwen/Qwen3-8B
Span,Span_min_L1_t0.9,418,0.12226751495295063,0.15370777154976523,0,0.0,0.9848812095032398,0.967741935483871,0.9061032863849765,0.9820297408902474,0.9634196758270264,0.8760212659835815,1,0.9,min,Qwen/Qwen3-8B
Span,Span_min_L2_t0.5,418,0.3342603527753438,0.37505680957430687,0,0.0,0.816414686825054,0.8548387096774194,0.6666666666666666,0.9446726901964708,0.8989307880401611,0.6724018454551697,2,0.5,min,Qwen/Qwen3-8B
Span,Span_min_L2_t0.7,418,0.21304430644976946,0.24886380851386158,0,0.0,0.9136069114470843,0.9032258064516129,0.795774647887324,0.9699948971921747,0.9384915232658386,0.8446530699729919,2,0.7,min,Qwen/Qwen3-8B
Span,Span_min_L2_t0.9,418,0.10226675301916266,0.12556809574306926,0,0.0,0.9892008639308856,0.9838709677419355,0.9166666666666666,0.9866771478401987,0.9718261361122131,0.9039531350135803,2,0.9,min,Qwen/Qwen3-8B
Span,Span_min_L4_t0.5,418,0.2851537201417197,0.3136645962732919,0,0.0,0.838012958963283,0.8548387096774194,0.7018779342723005,0.9541795633055947,0.912309467792511,0.6939404606819153,4,0.5,min,Qwen/Qwen3-8B
Span,Span_min_L4_t0.7,418,0.17750771457960302,0.202696561127102,0,0.0,0.9298056155507559,0.9354838709677419,0.8215962441314554,0.9759016406307951,0.9488296508789062,0.8836129307746887,4,0.7,min,Qwen/Qwen3-8B
Span,Span_min_L4_t0.9,418,0.08229646843689287,0.0986214209968187,0,0.0,0.9913606911447084,0.9838709677419355,0.9295774647887324,0.9894638256878374,0.9760593771934509,0.9046162366867065,4,0.9,min,Qwen/Qwen3-8B
Span,Span_min_L8_t0.5,418,0.23415749171397005,0.2523860021208908,0,0.0,0.8682505399568035,0.8870967741935484,0.7535211267605634,0.9632851143487903,0.9207407236099243,0.7663102149963379,8,0.5,min,Qwen/Qwen3-8B
