"n_questions","condition","method","drop_rule","span_length","target_retention_rate","em_percent","f1_percent","source","official_evaluator"
"694","compressed","Token","","","0.9","61.24","71.9","Drive_prediction_aggregate","False"
"694","compressed","Token","","","0.8","47.41","57.81","Drive_prediction_aggregate","False"
"694","compressed","Token","","","0.7","36.74","46.32","Drive_prediction_aggregate","False"
"694","compressed","Span","max","1","0.9","72.77","80.61","Drive_prediction_aggregate","False"
"694","compressed","Span","max","2","0.9","72.62","80.34","Drive_prediction_aggregate","False"
"694","compressed","Span","max","4","0.9","72.48","80.15","Drive_prediction_aggregate","False"
"694","compressed","Span","max","8","0.9","72.77","80.31","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","1","0.9","72.77","80.61","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","2","0.9","72.19","79.67","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","4","0.9","72.48","79.99","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","8","0.9","70.89","78.44","Drive_prediction_aggregate","False"
"694","compressed","Span","min","1","0.9","72.77","80.61","Drive_prediction_aggregate","False"
"694","compressed","Span","min","2","0.9","72.62","79.89","Drive_prediction_aggregate","False"
"694","compressed","Span","min","4","0.9","72.62","79.96","Drive_prediction_aggregate","False"
"694","compressed","Span","min","8","0.9","70.75","78.33","Drive_prediction_aggregate","False"
"694","compressed","Span","max","1","0.8","68.44","76.66","Drive_prediction_aggregate","False"
"694","compressed","Span","max","2","0.8","68.73","76.82","Drive_prediction_aggregate","False"
"694","compressed","Span","max","4","0.8","68.59","76.74","Drive_prediction_aggregate","False"
"694","compressed","Span","max","8","0.8","68.59","76.76","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","1","0.8","68.44","76.66","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","2","0.8","69.31","76.44","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","4","0.8","67.44","75.31","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","8","0.8","67.44","75.55","Drive_prediction_aggregate","False"
"694","compressed","Span","min","1","0.8","68.44","76.66","Drive_prediction_aggregate","False"
"694","compressed","Span","min","2","0.8","68.16","75.38","Drive_prediction_aggregate","False"
"694","compressed","Span","min","4","0.8","68.01","75.5","Drive_prediction_aggregate","False"
"694","compressed","Span","min","8","0.8","66.57","74.2","Drive_prediction_aggregate","False"
"694","compressed","Span","max","1","0.7","63.54","70.88","Drive_prediction_aggregate","False"
"694","compressed","Span","max","2","0.7","62.97","70.23","Drive_prediction_aggregate","False"
"694","compressed","Span","max","4","0.7","64.12","71.22","Drive_prediction_aggregate","False"
"694","compressed","Span","max","8","0.7","64.99","72.39","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","1","0.7","63.54","70.88","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","2","0.7","64.84","71.96","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","4","0.7","64.84","72.25","Drive_prediction_aggregate","False"
"694","compressed","Span","mean","8","0.7","62.97","70.46","Drive_prediction_aggregate","False"
"694","compressed","Span","min","1","0.7","63.54","70.88","Drive_prediction_aggregate","False"
"694","compressed","Span","min","2","0.7","64.99","72.36","Drive_prediction_aggregate","False"
"694","compressed","Span","min","4","0.7","62.39","69.52","Drive_prediction_aggregate","False"
"694","compressed","Span","min","8","0.7","62.25","69.23","Drive_prediction_aggregate","False"
