subset,lang,cond,n,n_parse_fail,acc,ci_lo,ci_hi
all,en,blind,292,8,0.6952054794520548,0.6401544954364172,0.7451868493913555
all,en,full,300,0,0.9533333333333334,0.9232019646862172,0.9720013254491692
all,en,r0.33,300,0,0.7666666666666667,0.7156176619060443,0.8109725087618301
all,en,r0.5,300,0,0.88,0.8383413318338598,0.9120496613678611
all,en,r0.75,300,0,0.94,0.90715983751747,0.9617139440845225
all,ko,blind,300,0,0.5833333333333334,0.5268345519290606,0.6377248764046503
all,ko,full,300,0,0.93,0.8953632441625534,0.953763406039394
all,ko,r0.33,300,0,0.6433333333333333,0.5876287210234448,0.6954134957105376
all,ko,r0.5,300,0,0.76,0.7085778152541881,0.8048476011469895
all,ko,r0.75,300,0,0.88,0.8383413318338598,0.9120496613678611
