subset,lang,cond,n,n_parse_fail,acc,ci_lo,ci_hi
passage-dependent,en,blind,89,0,0.0,0.0,0.04137800296418846
passage-dependent,en,full,89,0,0.8876404494382022,0.8053880872134394,0.9378132363311784
passage-dependent,en,r0.33,89,0,0.48314606741573035,0.3821909362267175,0.5854959627496036
passage-dependent,en,r0.5,89,0,0.7528089887640449,0.6539776698770603,0.8307188454781251
passage-dependent,en,r0.75,89,0,0.8651685393258427,0.7789591241958206,0.9211580646505587
passage-dependent,ko,blind,125,0,0.0,0.0,0.0298164567965626
passage-dependent,ko,full,125,0,0.872,0.8021628958094078,0.9196536603339496
passage-dependent,ko,r0.33,125,0,0.384,0.3034059480322462,0.4715114699445564
passage-dependent,ko,r0.5,125,0,0.536,0.44880678264565155,0.6210464324649959
passage-dependent,ko,r0.75,125,0,0.776,0.6953100627209139,0.8402312531273837
